Id;Titulo;Consola;America;Europa;Japon;Otro
39;Super Smash Bros. Brawl;Nintendo Wii;0,97;2,46;2,12;1,94
40;The Mysterious Murasame Castle;Nintendo;3,17;3,78;0,07;0,15
41;Need For Speed: Undercover;Nintendo Wii;1,83;1,83;1,26;1,58
42;Mafia II;XBox 360;2,09;2,23;2,26;2,14
43;Dungeon Siege III;XBox 360;2,41;1,67;1,44;1,54
44;Crash City Mayhem;GameBoy Advance;0,7;1,74;1,47;2,53
45;Pro Evolution Soccer 2017;PlayStation 4;2,33;1,97;1,29;2
46;NBA 2K17;PlayStation 4;3,52;2,29;1,39;1,51
47;Pippa Funnell 2: Farm Adventures;Nintendo DS;0,32;1,23;2,17;2,27
48;Curious George;GameBoy Color;2,19;0,41;2,39;2
49;Mario Kart 64;Nintendo 64;2,42;3,29;3,72;3,38
50;NHL 99;Nintendo 64;2,74;3,07;3,16;3,08
51;Tales of Symphonia;GameBoy Color;3,12;0,05;2,56;1,4
52;Fire Emblem: Seisen no Keifu;Super Nintendo;1,71;0,9;3,05;1,65
53;Sonic Adventure DX: Director's Cut;GameBoy Color;1,44;0,17;2,57;2,7
54;Monopoly Party;GameBoy Color;0,68;0,17;2,4;1,58
55;Super Bowling;Nintendo 64;3,33;3,8;3,91;2,46
56;The Fairly Odd Parents: Breakin Da Rules;XBox;2,01;1,96;2;0,16
57;Konpeki no Kantai;Super Nintendo;2,68;1,44;2,87;1,35
58;Spice World;PlayStation;3,04;2,05;0,29;2,42
59;The New Tetris;Nintendo 64;3,66;3,46;2,36;2,92
60;Land of the Dead: Road to Fiddler's Green;XBox;1,73;2,16;2,5;0,5
61;Taiko no Tatsujin Wii: Ketteiban;Nintendo Wii;2,01;2,11;2,18;1,75
62;Exhibition Volume 02;XBox;1,56;2,75;2,23;0,01
63;RoboCop;XBox;1,45;1,82;1,19;0,26
64;Super Mario Sunshine;GameBoy Color;1,55;0,11;2,8;2,23
65;Monster Rancher 2;PlayStation;2,18;1,79;0,05;1,84
66;Charm Girls Club: My Perfect Prom;Nintendo DS;0,53;1,7;2,8;1,44
67;Donkey Konga 2;GameBoy Color;2,09;0,55;2,38;1,82
68;Forza Motorsport 5;XBox One;0,05;2,49;1,51;2,14
69;7 Days to Die;XBox One;0,02;1,01;2,49;2,65
70;NBA Live 09 All-Play;Nintendo Wii;1,95;2,61;2,29;2,1
71;Mortal Kombat Mythologies: Sub-Zero;PlayStation;1,91;1,47;0,13;1,62
72;Touhou Genso Rondo: Bullet Ballet;PlayStation 4;2,15;1,97;1,45;2,1
73;Medarot DS: Kabuto / Kuwagata Ver.;Nintendo DS;0,37;1,79;1,9;2,96
74;Ty the Tasmanian Tiger 3: Night of the Quinkan;GameBoy Color;1,86;0,04;1,89;2,29
75;Evolution Skateboarding;GameBoy Color;2,21;0,29;2,28;1,85
76;Spartan: Total Warrior;GameBoy Color;2;0,13;2,36;3,67
77;NHL Rivals 2004;XBox;2,14;1,8;1,18;0,21
78;Lords of the Fallen;XBox One;0,01;2,79;2,63;2,82
79;Banjo-Kazooie;Nintendo 64;3,85;3,43;4,27;4,03
80;Castlevania: Aria of Sorrow;GameBoy Advance;2;1,85;2,5;1,99
81;EA Sports MMA;XBox 360;1,86;2,16;2,28;2,58
82;Kirby's Dream Land 3;Super Nintendo;1,31;1,9;4,04;0,96
83;Dancing with the Stars: We Dance!;Nintendo Wii;1,51;2;1,15;2,68
84;Neon Genesis Evangelion;Nintendo 64;3,41;3,57;3,35;3,25
85;Wild 9;PlayStation;1,28;2,06;1,08;2,51
86;World Championship Poker;XBox;1,97;1,88;2,17;0,15
87;Alien: Isolation;PlayStation 4;1,49;1,56;1,73;2,21
88;Imagine: Ice Champions;Nintendo DS;0,13;2,44;3,6;2,3
89;Phoenix Wright: Ace Attorney - Trials and Tribulations;Nintendo DS;0,01;1,52;1,75;2,73
90;Pebble Beach Golf Links;Sega Saturn;1,4;1,68;1,45;0,25
91;Dead Space Extraction;Nintendo Wii;2,97;2,98;1,7;2,95
92;Sonic Heroes;GameBoy Color;1,47;0,04;2,74;1,29
93;Little League World Series Baseball 2008;Nintendo Wii;2,49;2,79;3,34;2,14
94;Mario Party 7;GameBoy Color;1,56;0,21;2,19;2,63
95;Naruto: Clash of Ninja;GameBoy Color;1,54;0,18;2,55;1,9
96;Ty the Tasmanian Tiger;GameBoy Color;2,13;0,32;1,55;2,41
97;Killer Instinct Gold;Nintendo 64;3,2;3,55;3,43;4,01
98;Thomas the Tank Engine & Friends;GameBoy Advance;2,14;1,75;2,27;2,46
99;Street Fighter Alpha: Warriors' Dreams;Sega Saturn;1,9;1,72;1,56;0,05
100;Star Wars Jedi Knight II: Jedi Outcast;GameBoy Color;2,53;0,01;3,07;1,61
101;Super Bubble Pop;GameBoy Color;2,62;0,25;2,06;1,53
102;New Play Control! Pikmin 2;Nintendo Wii;1,34;3,1;1,77;1,99
103;Gex: Enter the Gecko;PlayStation;2,22;1,52;0,19;2
104;LEGO Batman 2: DC Super Heroes;XBox 360;2,03;2,29;2,6;2,46
105;From TV Animation One Piece: Grand Battle 2;PlayStation;1,73;2,14;0,1;2,87
106;Caladrius;XBox 360;2,04;2,32;1,72;3,01
107;Frogger's Adventures: The Rescue;GameBoy Color;1,59;0,37;1,5;2,03
108;CyberTiger;Nintendo 64;2,64;3,37;3,59;3,2
109;Gun;XBox;1,55;2,47;2,91;0,18
110;Black Stone: Magic & Steel;XBox;1,9;2,58;1,93;0,01
111;Frogger Beyond;GameBoy Color;2;0,33;2,4;1,67
112;Mystic Ark;Super Nintendo;1,86;1,43;3,21;0,85
113;W.L.O. Sekai Renai Kikousen;XBox 360;3,45;1,87;2,16;2,39
114;Need for Speed Underground 2;GameBoy Color;2,32;0,03;1,57;2,64
115;Farming 2017 - The Simulation;PlayStation 4;2,74;3,02;0,5;2,39
116;Need for Speed III: Hot Pursuit;PlayStation;2,46;1,97;0,03;1,97
117;Phantasy Star Universe;XBox 360;1,93;2,76;2,52;2,35
118;MotoGP;XBox;1,67;1,5;2,27;0,1
119;Enduro;Atari 2600;2,33;0,89;0,86;0,78
120;Mega Man 64;Nintendo 64;4,13;3,14;3,21;3,4
121;Yarudora Series Vol. 2: Kisetsu wo Dakishimete;PlayStation;1,6;2,19;0,6;1,82
122;Bakugan: Rise of the Resistance;Nintendo DS;0,26;2,04;2,11;3,31
123;Odin Sphere: Leifthrasir;PlayStation 4;2,49;2,31;2,47;2,12
124;The Lost Vikings;GameBoy Advance;1,57;1,94;2,08;1,82
125;NCAA Football 09 All-Play;Nintendo Wii;2,12;2,25;1,96;1,14
126;Skylanders: Trap Team;XBox One;0,05;2,45;2,63;2,87
127;Serious Sam;XBox;2,23;1,68;1,67;0,08
128;CSI: Fatal Conspiracy;XBox 360;1,68;1,9;2,37;2,58
129;SD Gundam: Over Galaxian;PlayStation;1,88;2,48;0,06;2,87
130;Gyromite;Nintendo;2,77;3,14;0,05;0,04
131;Contra Advance: The Alien Wars EX;GameBoy Advance;1,38;1,99;1,38;1,81
132;Pony Friends 2;Nintendo DS;0,26;2,39;2,51;1,62
133;Cartoon Network Block Party;GameBoy Advance;1,87;2,01;2,59;1,91
134;11eyes: CrossOver;XBox 360;1,84;1,33;2,65;1,5
135;Kidou Senshi V Gundam;Super Nintendo;1,84;1,19;3,53;0,94
136;Black Dawn;PlayStation;3,38;1,72;0,38;2,78
137;Super Mario All-Stars;Super Nintendo;1,02;1,83;3,79;0,95
138;Star Fox: Assault;GameBoy Color;1,78;0,41;3,06;2,37
139;Nicktoons: MLB;Nintendo DS;0,04;2,9;2,51;2,69
140;Plants vs. Zombies: Garden Warfare;XBox One;0,01;2,32;2,83;2,03
141;Nintendo World Cup;Nintendo;3,94;3,33;0,03;0,01
142;I Spy: Universe;Nintendo DS;0,17;2,21;2,74;2,14
143;Teenage Mutant Ninja Turtles: Mutants in Manhattan;XBox One;0,05;2,11;2,18;1,99
144;CT Special Forces;GameBoy Advance;1,66;1,94;2,05;3,56
145;Trials Fusion;PlayStation 4;2,09;2,74;1,64;2,05
146;Heart Catch PreCure! Oshare Collection;Nintendo DS;0,06;1,74;2,59;2,65
147;Big Bass Fishing;PlayStation;2,32;0,41;0,29;2,04
148;Classic NES Series: Donkey Kong;GameBoy Advance;1,61;2,39;2,22;1,31
149;Dark Cavern;Atari 2600;2,3;0,98;0,82;0,52
150;The Legend of Zelda: Oracle of Ages;GameBoy;2,31;0,23;2,52;0,38
151;Shrek Extra Large;GameBoy Color;1,99;0,01;1,71;2,28
152;My Make-Up;Nintendo DS;0,43;2,19;1,81;2,49
153;Learn Chess;Nintendo DS;0,3;2,38;1,82;1,33
154;Lethal Enforcers I & II;PlayStation;1,78;2,22;0,11;1,49
155;Wild ARMs 2;PlayStation;2,72;1,58;0,76;2,52
156;Ookami to Koushinryou: Omiowataru Kaze;Nintendo DS;0,24;2,96;3,06;2,06
157;Hanagumi Taisen Columns;Sega Saturn;1,67;1,9;1,82;0,18
158;Hot Potato!;GameBoy Advance;0,74;1,57;1,81;2
159;"Chaos;Child";PlayStation 4;1,46;1,94;1,03;2,68
160;Extreme Pinball;PlayStation;2,05;2,54;0,06;2,5
161;The Great Escape;XBox;1,54;1,61;1,82;0,89
162;Hasbro Family Fun Pack;XBox One;0,11;2,29;2,24;2,24
163;Deep Fear;Sega Saturn;1,74;1,35;1,39;0,02
164;Battle Spirits: Digital Starter;Nintendo DS;0,09;1,54;2,08;1,58
165;MLB Power Pros 2008;Nintendo Wii;2,11;2,26;1,92;1,98
166;Dora the Explorer: Super Spies;GameBoy Advance;2,06;2,34;1,62;2,71
167;Skylanders: Trap Team;Nintendo Wii;1,57;2,46;2,23;2,39
168;Metal Arms: Glitch in the System;GameBoy Color;2,32;0,07;2,4;2,52
169;Romance of the Three Kingdoms 13;PlayStation 4;1,3;1,8;1,34;2,31
170;Metal Gear Solid V: The Phantom Pain;PlayStation 4;2,77;2,37;1,86;2,16
171;Donkey Kong Country;Super Nintendo;1,37;2,19;3,42;1,2
172;Rush 2: Extreme Racing USA;Nintendo 64;3,92;3,42;3,85;3,76
173;JGTC: All-Japan Grand Touring Car Championship;PlayStation;2,23;1,19;0,14;2,68
174;ECW Hardcore Revolution;PlayStation;1,95;2,03;0,06;2,39
175;Anima - Gate of Memories;PlayStation 4;1,59;1,66;0,88;1,75
176;Akuji the Heartless;PlayStation;1,9;2,23;0,15;1,61
177;Mario Party 4;GameBoy Color;1,85;0,09;2,11;2,89
178;NBA in the Zone 2000;Nintendo 64;3,18;3,16;3,8;3,17
179;Hiiro no Kakera DS;Nintendo DS;0,46;1,95;2,19;2,11
180;Choro Q3;PlayStation;2,92;2,35;0,52;1,6
181;187: Ride or Die;XBox;3,31;2,39;2,61;0,17
182;Emergency 2012;Nintendo DS;1,04;2,14;1,87;2,2
183;Gekido Advance: Kintaro's Revenge;GameBoy Advance;1,56;3,21;1,75;2,91
184;Derby Stallion 98;Super Nintendo;1,72;1,11;3,69;1,28
185;Blue Stinger;Sega Dreamcast;0,5;0,71;1,26;0,39
186;Disney Infinity 2.0: Marvel Super Heroes;XBox One;0,08;2,06;2,12;1,58
187;Mario Party;Nintendo 64;3,58;3,52;3,66;3,43
188;Dance Central: Spotlight;XBox One;0,33;2,48;2,03;2,34
189;Clever Kids: Pirates;Nintendo DS;0,3;1,93;2,44;0,78
190;Hissatsu Pachinko Collection 3;Super Nintendo;1,8;2,21;2,38;0,94
191;Resident Evil - Code: Veronica;Sega Dreamcast;0,83;1,61;1,8;0,98
192;Diego's Build & Rescue;Nintendo DS;0,12;1,35;1,47;2,33
193;Agatha Christie: Evil Under the Sun;Nintendo Wii;2,54;3;1,46;1,59
194;JoJo's Bizarre Adventure: Eyes of Heaven;PlayStation 4;1,43;2,51;2,98;0,65
195;Silly Bandz: Play The Craze;Nintendo DS;0,11;2,23;2,27;1,07
196;The Adventures of Tintin: The Game;XBox 360;1,73;2,38;2,01;2,66
197;Muchi Muchi Pork & Pink Sweets;XBox 360;2,43;1,52;1,83;2,81
198;Tony Hawk's Pro Skater 4;XBox;1,68;2,05;2,31;0,01
199;Jupiter Strike;PlayStation;1,36;1,22;0,26;1,62
200;Dragon Warrior IV;Nintendo;3,98;3,25;0,54;0,07
201;Power Pro Kun Pocket 12;Nintendo DS;0,03;2;2,14;1,71
202;Tony Hawk's Pro Skater 4;GameBoy Color;2,12;0,26;2,29;2,49
203;Puyo Puyo Sun;Sega Saturn;1,61;2,04;2,41;0,16
204;Major League Baseball 2K12;Nintendo Wii;2,38;3,72;1,87;1,31
205;The Powerpuff Girls: Chemical X-Traction;Nintendo 64;2,98;2,53;3,36;3,59
206;Yu-Gi-Oh! The Falsebound Kingdom;GameBoy Color;2,42;0,15;2,25;2,63
207;Disney's Magical Mirror Starring Mickey Mouse;GameBoy Color;1,69;0,03;1,74;2,05
208;Prince of Persia: The Two Thrones;GameBoy Color;1,1;0,16;2,65;1,77
209;Imagine: Figure Skater (US sales);Nintendo DS;0,2;2,35;1,92;1,96
210;Ty the Tasmanian Tiger 2: Bush Rescue;GameBoy Color;2,55;0,28;1,88;2,18
211;Project Spark;XBox One;0,03;2,82;3,09;2,15
212;Starwinder: The Ultimate Space Race;PlayStation;1,29;2,98;0,44;1,66
213;City Builder;Nintendo Wii;0,87;1,96;2,12;2,19
214;Kingdom Hearts: Chain of Memories;GameBoy Advance;1,89;1,55;2,4;2,53
215;Yarudora Series Vol.1: Double Cast;PlayStation;2,34;2,1;1,14;1,2
216;Darius II;Sega Saturn;1,86;2,16;1,88;0,06
217;Test Drive Le Mans;PlayStation;1,91;2,48;0,33;1,69
218;Famista '91;Nintendo;3,48;3,1;0,35;0,18
219;Deca Sports 3;Nintendo Wii;1,87;2,85;2,51;2,67
220;Yoshi;Nintendo;3,7;3,98;0,09;0,06
221;NBA Live 14;XBox One;0,04;2,09;1,96;2,06
222;All-Star Baseball 2003;GameBoy Advance;1,59;1,58;1,69;2,65
223;Sesame Street: Elmo's Letter Adventure;Nintendo 64;3,61;3,52;3,19;2,9
224;Battle Soccer: Field no Hasha;Super Nintendo;1,86;1,28;3,16;1,96
225;FIFA Street;GameBoy Color;1,6;0,24;2,4;2,15
226;DECA Sports Freedom;XBox 360;1,87;2,61;1,56;3,2
227;Night Warriors: Darkstalkers' Revenge;Sega Saturn;1,79;2,02;1,81;0,12
228;My Chinese Coach;Nintendo DS;0,2;1,64;1,91;1,57
229;Mario Golf: Advance Tour;GameBoy Advance;1,24;2,59;2,27;1,78
230;Sonic and the Secret Rings;Nintendo Wii;2,29;2,48;1,79;1,99
231;The Adventures of Jimmy Neutron Boy Genius: Jet Fusion;GameBoy Advance;1,74;2,73;2,68;2,74
232;The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies;GameBoy Color;2,18;0,17;2,85;1,77
233;AMF Bowling Pinbusters!;Nintendo DS;0,53;1,99;3,69;1,9
234;Excitebike;Nintendo;3,52;3,12;0,26;0,04
235;Build-A-Bear Workshop;Nintendo DS;0,15;1,73;1,56;2,21
236;Megamania;Atari 2600;1,28;0,08;1,16;0,49
237;Super Power League 2;Super Nintendo;1,89;1,52;2,9;0,62
238;Penny Racers;PlayStation;2,71;1,27;0,47;1,64
239;All Japan Pro Wrestling featuring Virtua;Sega Saturn;2,05;2,1;1,31;0,18
240;Legends of Wrestling II;GameBoy Advance;1,73;2,8;2,95;1,84
241;Tecmo Classic Arcade;XBox;1,83;2,51;1,66;1,15
242;Populous DS;Nintendo DS;0,1;2,15;1,82;2,16
243;Bomberman;Nintendo DS;0,46;1,87;1,87;2,17
244;Shaman King: Soul Fight;GameBoy Color;1,92;0,06;2,14;2,94
245;Yu-Gi-Oh: Duel Monsters 4;GameBoy;2,8;0,02;2,82;0,21
246;Barnyard;Nintendo Wii;2,23;1,92;2,24;1,93
247;Derby Jockey: Kishou e no Michi;Super Nintendo;2,14;0,96;2,89;1,07
248;Rugby World Cup 2015;PlayStation 4;1,26;1,89;2,06;2,41
249;Nichibutsu Arcade Classics;Super Nintendo;2,1;1,77;2,97;0,99
250;WCW Nitro;Nintendo 64;3,78;2,94;3,66;3,02
251;EA Sports Active;Nintendo Wii;2,51;1,98;1,95;0,89
252;NHL Breakaway 99;Nintendo 64;3,02;3,84;3,29;2,81
253;Hitman (2016);XBox One;0,22;1,99;2,8;1,58
254;Gallop Racer 2: One and Only Road to Victory;PlayStation;1,76;1,93;1,27;2,75
255;Street Fighter II: The World Warrior;Super Nintendo;1,67;1,9;3,4;1,42
256;Shrek 2: Beg for Mercy;GameBoy Advance;1,03;2,59;2,06;2,42
257;NHL Powerplay 98;PlayStation;2,21;2,63;0,35;1,03
258;Rocksmith 2014;PlayStation 4;2,58;1,31;2,07;3,04
259;Petz: Horseshoe Ranch;Nintendo DS;0,98;2,53;3,08;2,19
260;The Croods: Prehistoric Party!;Nintendo DS;0,07;2,02;2,48;2,29
261;Madden NFL 16;PlayStation 4;2,2;2,9;1,36;2,71
262;The Sims;GameBoy Color;1,77;0,02;2,67;1,95
263;Derby Stallion 64;Nintendo 64;2,9;2,86;3,83;2,95
264;Jikkyou Powerful Pro Yakyuu 2;Super Nintendo;1,29;1,6;3,25;0,87
265;Running Wild;PlayStation;2,81;2,77;0,04;2,09
266;River City Ransom EX;GameBoy Advance;1,1;2,31;1,14;1,6
267;Street Fighter V;PlayStation 4;2,41;2,59;2,5;2,35
268;Criticom;PlayStation;2,01;2,42;0,5;1,72
269;Army Men World War: Final Front;PlayStation;1,51;2,47;0,18;2
270;Ford vs. Chevy;XBox;2,58;1,68;2,44;0,1
271;Rugby 15;XBox One;0,39;1,56;2,4;2,43
272;Front Mission 3;PlayStation;2,31;1,91;0,65;2,2
273;NHL Breakaway 98;Nintendo 64;3,5;2,99;3,27;3,41
274;BCFX: The Black College Football Xperience, The Doug Williams Edition;XBox 360;1,51;2,66;2,09;2,36
275;The Beatles: Rock Band;XBox 360;2;1,61;2,39;2
276;Olympic Summer Games: Atlanta 1996;PlayStation;1,39;2,85;0,39;2,29
277;Dune 2000;PlayStation;1,9;2,6;0,53;2,27
278;Starsky & Hutch;GameBoy Color;2,64;0,11;2,96;1,51
279;Stranglehold;XBox 360;2,55;2,27;1,92;2,8
280;The Simpsons: Road Rage;GameBoy Color;2,43;0,22;2,45;1,56
281;NBA Courtside 2 featuring Kobe Bryant;Nintendo 64;3,26;3,41;3,53;3,56
282;Billy Hatcher and the Giant Egg;GameBoy Color;1,33;0,28;2,06;1,13
283;Bee Movie Game;Nintendo DS;0,96;2,55;2,22;2,47
284;Space Chimps;XBox 360;1,53;2,84;2,37;1,95
285;NBA Showtime: NBA on NBC;PlayStation;1,57;2,41;0,65;1,77
286;Lego Star Wars: The Force Awakens;PlayStation 4;1,48;1,48;2,08;1,66
287;Rugrats: Search For Reptar;PlayStation;1,47;2,53;0,68;2,5
288;KISS Pinball;PlayStation;1,67;2,82;0,43;0,81
289;Predator: Concrete Jungle;XBox;2,46;1,74;1,72;0,06
290;PDC World Championship Darts: Pro Tour;XBox 360;1,61;2,2;1,45;2,44
291;Space Station Silicon Valley;Nintendo 64;3,2;2,85;3,65;3,17
292;Popeye: Rush for Spinach;GameBoy Advance;1,46;2,93;1,64;2,43
293;101-in-1 Party Megamix Wii;Nintendo Wii;1,15;2,73;2,85;2,07
294;Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono;Nintendo DS;0,09;2,01;2,59;0,85
295;Worms Armageddon;Nintendo 64;2,83;2,82;3,28;2,58
296;San Goku Shi V;Sega Saturn;1,52;1,65;1,74;0,01
297;Castlevania Dracula X;Super Nintendo;2,29;2,24;3,97;0,18
298;FIFA Soccer 2003;XBox;2,02;2,5;2,62;0,14
299;Capcom Classics Collection;XBox;1,85;1,66;1,63;0,1
300;Horrid Henry: Missions of Mischief;Nintendo Wii;2,66;2,48;2,43;3,33
301;TigerShark;PlayStation;1,13;1,99;0,41;1,03
302;Asteroids Hyper 64;Nintendo 64;3,45;2,77;3,35;3,17
303;Soccer;Nintendo;3,93;3,64;0,14;0,41
304;Life is Strange;PlayStation 4;2,05;2,61;2,6;2,5
305;Wipeout 2;Nintendo Wii;2,85;2,95;1,8;1,81
306;Mirror's Edge;XBox 360;2,45;2,48;2,23;2,24
307;Ookami to Koushinryou: Boku to Horo no Ichinen;Nintendo DS;0,07;1,83;2,26;2,32
308;Mike Tyson Heavyweight Boxing;XBox;0,95;1,82;1,49;0,08
309;International Superstar Soccer;Super Nintendo;2,3;2,26;3,18;1,33
310;Medal of Honor: Rising Sun;GameBoy Color;1,84;0,05;2,17;2,46
311;Jimmy Neutron: Boy Genius;GameBoy Color;1,4;0,05;2,56;2,28
312;Are You Smarter than a 5th Grader? Game Time;Nintendo DS;0,75;2,23;2,45;2,39
313;Tony Hawk's Underground 2;XBox;2,86;1,7;2,27;0,26
314;Ribbit King;GameBoy Color;1,62;0,01;1,84;2,43
315;World Stadium 3;PlayStation;2,61;2,13;0,19;1,83
316;Marvel Nemesis: Rise of the Imperfects;XBox;2,17;2,8;2,46;0,29
317;Pucca Power Up;Nintendo DS;0,63;1,42;2,62;2,53
318;Little League World Series Baseball: Double Play;Nintendo Wii;2,01;2,53;2,48;1,93
319;Naruto Shippuden: Ultimate Ninja Storm 4;PlayStation 4;2,01;2,52;0,82;2,21
320;Rocket Power: Dream Scheme;GameBoy Advance;1,44;2,57;1,28;2,08
321;The King of Fighters '95;PlayStation;2,13;2,4;0,63;2,5
322;X-Men Legends;GameBoy Color;2,04;0,3;1,09;2,37
323;Madden NFL 2000;Nintendo 64;3,71;3,07;3,71;3,82
324;Winter Heat;Sega Saturn;2,41;1,93;2,01;0,02
325;Cabela's Big Game Hunter 2005 Adventures;GameBoy Color;2,05;0,07;2,44;1,84
326;Bad Boys: Miami Takedown;XBox;1,05;1,79;2,39;0,04
327;Spyro: Enter the Dragonfly;GameBoy Color;2,35;0,2;1,58;1,37
328;Pokemon Channel;GameBoy Color;1,64;0,22;2,86;2,25
329;The Revenge of Shinobi;GameBoy Advance;2,19;2,41;1,41;3,27
330;Super Smash Bros.;Nintendo 64;3,07;3,07;4,35;3,23
331;Crazy Taxi 2;Sega Dreamcast;0,38;0,77;1,78;0,33
332;ESPN Winter X-Games: Snowboarding 2002;GameBoy Advance;1,85;1,96;1,8;1,8
333;Capcom Digital Collection;XBox 360;2,75;2,12;2,37;1,57
334;Rayman Raving Rabbids: TV Party;Nintendo Wii;2,44;2,27;2,22;1,16
335;WWE SmackDown vs. Raw 2009;Nintendo DS;0,05;2,41;2,01;2,5
336;Rock Band Country Track Pack;Nintendo Wii;1,9;2,71;1,22;1,4
337;Famicom Mini: Ganbare Goemon! Karakuri Douchuu;GameBoy Advance;1,54;1,6;1,57;2,1
338;Call of Duty: Black Ops II;XBox 360;1,85;2,15;2,34;3,67
339;Kirby's Star Stacker;GameBoy;1,96;0,24;1,48;0,11
340;J-League Victory Goal;Sega Saturn;1,96;2,99;1,75;0,3
341;WCW Nitro;PlayStation;2,09;1,75;0,17;2,41
342;Madden NFL 2002;GameBoy Color;3,09;0,19;2,4;1,94
343;Minority Report: Everybody Runs;GameBoy Color;1,93;0,28;1,97;2,72
344;Bionicle Heroes;Nintendo DS;0,1;2,52;1,82;2,71
345;F1 ROC: Race of Champions;Super Nintendo;1,44;2,05;3,54;0,85
346;Formula 1 Championship Edition;PlayStation;0,5;2,42;0,62;1,5
347;Pikmin 2;GameBoy Color;1,49;0,64;1,76;2,36
348;Far East of Eden Zero;Super Nintendo;2,61;0,61;3,49;1,54
349;Ninjabread Man;Nintendo Wii;2,54;2;1,84;2,98
350;NASCAR Thunder 2003;GameBoy Color;1,96;0,02;2,8;2,57
351;Brothers In Arms DS;Nintendo DS;0,29;1,71;2,17;1,79
352;Imagine Animal Doctor Care Center;Nintendo DS;0,02;1,97;1,99;2,11
353;Golden Sun;GameBoy Advance;1,66;1,91;1,79;1,42
354;Dreamer Series: Puppy Trainer;Nintendo DS;1,16;2,09;1,61;1,77
355;Bubsy 3D;PlayStation;1,77;1,53;0,14;2,41
356;Crysis 3;XBox 360;1,8;1,4;2,88;2,52
357;Nectaris: Military Madness;PlayStation;3,02;2,77;0,44;2,58
358;Secret Files: Tunguska;Nintendo Wii;2,42;2,6;2,35;1,97
359;Cool Boarders 2001;PlayStation;1,45;2,21;0,05;2,24
360;Hot Wheels: World Race;GameBoy Advance;1,07;2,85;2,05;1,6
361;Super Robot Taisen L;Nintendo DS;0,16;1,67;2,17;2,01
362;The Unholy War;PlayStation;1,87;1,78;0,21;1,83
363;Toy Story 3: The Video Game;Nintendo Wii;3,07;2,7;1,52;1,79
364;Brothers: A Tale of Two Sons;PlayStation 4;2,12;2,26;0,58;1,51
